gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,0,0,0,0,0,0,0,0
wht,0,0,0,0,0,0,0,0
gro,0,0,0,0,0,0,0,0
v_f,0,0,0,0,0,0,0,0
osd,0,0,0,0,0,0,0,0
c_b,0,0,0,0,0,0,0,0
pfb,0,0,0,0,0,0,0,0
ocr,0,0,0,0,0,0,0,0
ctl,0,0,0,0,0,0,0,0
oap,0,0,0,0,0,0,0,0
wol,0,0,0,0,0,0,0,0
frs,0.20572957751789045,5.002793509804044,0.008006637993269167,0,0,2.6598323669842676,0.17533045277697823,0.051923849865326985
fsh,0,0,0,0,0,0,0,0
coa,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0
oxt,0,0,0,0,0,0,0,0
cmt,0,0,0,0,0,0,0,0
omt,0,0,0,0,0,0,0,0
vol,0,0,0,0,0,0,0,0
mil,0,0,0,0,0,0,0,0
pcr,0,0,0,0,0,0,0,0
sgr,0,0,0,0,0,0,0,0
ofd,0,0,0,0,0,0,0,0
b_t,0,0,0,0,0,0,0,0
tex,0,0,0,0,0,0,0,0
wap,0,0,0,0,0,0,0,0
lea,0,0,0,0,0,0,0,0
lum,0.1397351226625681,4.63751573305095,0.0184505912462385,0.004891710515405154,2.3305242429267325,3.5276186641006375,0.776289278537174,1.6219645888634873
ppp,0,0,0,0,0,0,0,0
p_c,0,0,0,0,0,0,0,0
chm,0,0,0,0,0,0,0,0
bph,0,0,0,0,0,0,0,0
rpp,0.29504027424972673,2.2476006385672194,2.8287844279089174,1.0664518216697751,8.89902461212144,5.294647491604429,7.290657387205439,5.241953824981162
nmm,0.3223115264365289,0.001556881489019331,0.06766015413824611,0.24322416239271408,0.87057432715704,0.07869887732961657,0.43832534837563164,2.3478232627079683
i_s,14.523342039617718,0.6030378865701562,2.6027245763136024,1.8705327487452263,1.1805646816269288,3.244393890216455,2.947955585630944,6.078129623402994
nfm,27.93233800629149,25.063092014394613,5.006967358960532,4.910431638627445,12.437681050773547,19.548453438075157,13.355450917734524,9.217083805069766
fmp,32.05737856306913,32.28603094131523,31.84710450169001,12.03969454245473,23.98837855203715,26.08753049631899,31.084411100879866,29.217321131787426
ele,7.797748414835024,3.308132461592462,8.957077204773348,3.0416161495204608,1.7891601082085744,3.317373756097551,6.006015778825205,1.3727259199291089
eeq,13.44127189570308,9.364874543806227,6.677121678059016,9.784620765809446,11.692541156135329,9.711776980579574,8.956767650087992,12.172759485720054
ome,8.327367010767484,6.411445226714234,11.69878230781627,4.724486722324424,7.050904805894401,5.74580113592078,6.815744676308711,9.648504204604146
mvh,17.260422384954875,13.605991898265515,14.668547004569078,23.26611497117337,22.739834128503066,22.34162468453346,19.71146003846263,23.089161869990924
otn,0.3029543405716239,1.1624677399609171,1.2338196815581193,3.1261765849593877,0.8075009993205793,1.7995126123105487,1.9773916644655856,7.645513224249095
omf,7.670695259372601,8.744677275987314,3.802424798344031,1.7158667982356577,1.0897366376742295,1.9339753018827097,4.611642592276339,0.7319499188674434
ely,0,0,0,0,0,0,0,0
